M_fit_Q1,y_fit_Q1,M_fit_Q2,y_fit_Q2,M_fit_Q3,y_fit_Q3,M_fit_Q4,y_fit_Q4
22033.391612322623,134.82868335251604,22033.44771363732,133.4653442296542,22033.305732209938,134.51729264947198,22033.257630556134,133.85010615828443
22128.550181400427,135.11821560753856,22128.60509073282,133.75200456118495,22128.46373567491,134.80645053747523,22128.415223995285,134.13765711869166
22223.70875047823,135.40709446834103,22223.76246782833,134.03801958186017,22223.62173913989,135.09496419318285,22223.572817434437,134.42456251330813
22318.86731955604,135.69532336782402,22318.919844923832,134.32339271814118,22318.779742604864,135.3828371887451,22318.73041087359,134.71082580959518
22414.02588863384,135.9829056877807,22414.07722201934,134.6081273463215,22413.93774606984,135.6700730475211,22413.888004312743,134.9964504251634
22509.18445771164,136.2698447594397,22509.234599114847,134.89222679306852,22509.09574953482,135.9566752446431,22509.045597751894,135.28143972832078
22604.343026789444,136.5561438639962,22604.39197621035,135.17569433595315,22604.253752999797,136.24264720756815,22604.203191191045,135.56579703860854
22699.501595867245,136.8418062331301,22699.54935330585,135.45853320396736,22699.41175646477,136.52799231661794,22699.360784630197,135.84952562732488
22794.66016494505,137.1268350495129,22794.706730401365,135.74074657802996,22794.569759929745,136.81271390550677,22794.51837806935,136.13262871803695
22889.81873402285,137.41123344730255,22889.86410749688,136.02233759148092,22889.727763394723,137.0968152618578,22889.675971508503,136.41510948708125
22984.97730310065,137.6950045126271,22985.021484592377,136.3033093305642,22984.8857668597,137.38029962770844,22984.833564947654,136.696971064053
23080.13587217846,137.97815128405708,23080.178861687884,136.58366483490005,23080.043770324675,137.6631702000042,23079.991158386805,136.978216532284
23175.29444125626,138.2606767530671,23175.33623878339,136.86340709794592,23175.201773789653,137.94543013108233,23175.14875182596,137.25884892931023
23270.453010334066,138.54258386448686,23270.4936158789,137.14253906744744,23270.35977725463,138.22708252914444,23270.30634526511,137.53887124732864
23365.61157941187,138.82387551694148,23365.6509929744,137.42106364587858,23365.517780719605,138.50813045871897,23365.463938704263,137.8182864336436
23460.77014848967,139.10455456328188,23460.80837006991,137.6989836908723,23460.675784184583,138.7885769411138,23460.621532143414,138.09709739110346
23555.92871756748,139.3846238110051,23555.965747165417,137.9763020156407,23555.83378764956,139.06842495485867,23555.779125582565,138.37530697852696
23651.08728664528,139.66408602266486,23651.12312426092,138.25302138938605,23650.99179111453,139.34767743613804,23650.93671902172,138.65291801112025
23746.24585572308,139.94294391627264,23746.28050135643,138.52914453770214,23746.149794579516,139.62633727921457,23746.09431246087,138.92993326088427
23841.404424800887,140.22120016568925,23841.437878451936,138.80467414296638,23841.307798044487,139.90440733684326,23841.251905900022,139.20635545701313
23936.562993878688,140.49885740100743,23936.595255547443,139.07961284472302,23936.465801509465,140.18189042067678,23936.409499339174,139.48218728628294
24031.721562956493,140.77591820892545,24031.752632642947,139.3539632400573,24031.62380497444,140.45878930166143,24031.56709277833,139.75743139343243
24126.880132034294,141.05238513311187,24126.91000973845,139.62772788396117,24126.781808439417,140.73510671042513,24126.72468621748,140.0320903815344
24222.0387011121,141.32826067456185,24222.06738683396,139.9009092896903,24221.939811904394,141.01084533765615,24221.88227965663,140.30616681235884
24317.197270189903,141.6035472919449,24317.224763929466,140.173509929113,24317.09781536937,141.28600783447425,24317.039873095782,140.57966320672784
24412.355839267704,141.8782474019446,24412.382141024973,140.44553223305093,24412.255818834343,141.56059681279322,24412.197466534933,140.8525820448623
24507.51440834551,142.15236337959024,24507.53951812048,140.7169785916118,24507.41382229932,141.83461484567547,24507.35505997409,141.1249257667204
24602.67297742332,142.42589755858032,24602.696895215988,140.9878513545142,24602.5718257643,142.10806446767927,24602.51265341324,141.3966967723288
24697.831546501115,142.69885223159866,24697.85427231149,141.25815283140517,24697.72982922928,142.3809481751976,24697.67024685239,141.6678974221057
24792.99011557892,142.97122965062286,24793.011649407,141.52788529216997,24792.88783269425,142.6532684267902,24792.827840291542,141.93853003717686
24888.14868465672,143.2430320272252,24888.169026502503,141.79705096723447,24888.04583615923,142.92502764350792,24887.985433730697,142.20859689968373
24983.307253734525,143.51426153286667,24983.326403598014,142.06565204786062,24983.2038396242,143.19622820921003,24983.14302716985,142.47810025308496
25078.46582281233,143.78492029918323,25078.48378069352,142.33369068643486,25078.36184308918,143.46687247087436,25078.300620609,142.74704230245058
25173.62439189013,144.0550104182659,25173.641157789025,142.6011689967494,25173.51984655416,143.73696273890067,25173.45821404815,143.01542521474929
25268.782960967936,144.32453394293356,25268.79853488453,142.8680890542772,25268.67785001913,144.0065012874073,25268.615807487302,143.28325111912918
25363.941530045737,144.59349288699912,25363.95591198004,143.13445289643974,25363.83585348411,144.275490354521,25363.773400926457,143.55052210719163
25459.10009912354,144.86188922552924,25459.113289075543,143.4002625228691,25458.993856949084,144.54393214266048,25458.930994365608,143.8172402332587
25554.258668201343,145.12972489509775,25554.27066617105,143.66551989566295,25554.151860414066,144.81182881881355,25554.08858780476,144.08340751463462
25649.417237279147,145.3970017940325,25649.42804326656,143.93022693963377,25649.30986387904,145.07918251480788,25649.24618124391,144.34902593186033
25744.575806356952,145.66372178265632,25744.585420362066,144.1943855425519,25744.46786734401,145.34599532757596,25744.403774683065,144.6140974289626
25839.73437543476,145.9298866835219,25839.74279745757,144.45799755538275,25839.62587080899,145.6122693194138,25839.561368122217,144.87862391369683
25934.89294451256,146.19549828164062,25934.90017455308,144.72106479251764,25934.78387427397,145.87800651823375,25934.718961561368,145.1426072577839
26030.05151359036,146.4605583247059,26030.057551648584,144.98358903199974,26029.941877738944,146.14320891781193,26029.87655500052,145.40604929714178
26125.210082668164,146.7250685233105,26125.214928744088,145.24557201574368,26125.09988120392,146.40787847802957,26125.03414843967,145.66895183211076
26220.36865174597,146.9890305511587,26220.372305839595,145.50701544975013,26220.257884668896,146.6720171251091,26220.191741878825,145.9313166276739
26315.52722082377,147.2524460452725,26315.529682935103,145.76792100431464,26315.415888133877,146.9356267518448,26315.349335317977,146.19314541367172
26410.68578990157,147.51531660619318,26410.687060030607,146.02829031423158,26410.573891598848,147.198709217828,26410.506928757128,146.4544398850114
26505.84435897938,147.77764379817697,26505.84443712612,146.28812497899253,26505.731895063826,147.46126634966714,26505.66452219628,146.7152017018714
26601.00292805718,148.03942914938585,26601.00181422162,146.5474265629799,26600.889898528803,147.72329994120284,26600.822115635434,146.9754324899003
26696.161497134985,148.30067415207373,26696.15919131713,146.80619659565525,26696.047901993777,147.9848117537178,26695.979709074585,147.23513384041112
26791.32006621279,148.56138026276696,26791.316568412632,147.06443657174322,26791.205905458755,148.24580351614182,26791.137302513736,147.4943073105706
26886.47863529059,148.8215489024407,26886.47394550814,147.32214795141024,26886.36390892373,148.5062769252521,26886.294895952888,147.75295442358376
26981.637204368395,149.0811814566901,26981.631322603647,147.57933216043878,26981.521912388707,148.76623364586874,26981.45248939204,148.01107666887344
27076.7957734462,149.34027927589716,27076.788699699155,147.8359905903969,27076.679915853685,149.0256753110455,27076.610082831194,148.2686755022558
27171.954342524,149.598843675393,27171.94607679466,148.09212459880337,27171.83791931866,149.28460352225625,27171.767676270345,148.52575234611072
27267.11291160181,149.85687593561545,27267.10345389017,148.34773550928858,27266.99592278364,149.54301984957678,27266.925269709496,148.78230858954836
27362.271480679607,150.11437730226262,27362.26083098568,148.60282461175072,27362.15392624861,149.80092583186237,27362.082863148647,149.03834558857073
27457.43004975741,150.37134898644217,27457.418208081177,148.857393162508,27457.31192971359,150.058322976921,27457.240456587802,149.29386466622964
27552.58861883521,150.62779216481604,27552.575585176684,149.11144238444683,27552.469933178567,150.31521276168218,27552.398050026954,149.54886711278002
27647.747187913017,150.88370797974167,27647.73296227219,149.36497346716556,27647.62793664354,150.57159663236203,27647.555643466105,149.8033541858294
27742.905756990825,151.13909753940857,27742.8903393677,149.6179875671146,27742.78594010852,150.82747600462417,27742.713236905256,150.05732711048324
